,titles,artists
0,Paint The Town Red,Doja Cat
1,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
2,Fast Car,Luke Combs
3,Cruel Summer,Taylor Swift
4,Last Night,Morgan Wallen
5,Dance The Night,Dua Lipa
6,Snooze,SZA
7,Fukumean,Gunna
8,Vampire,Olivia Rodrigo
9,Calm Down,Rema & Selena Gomez
10,Rich Men North Of Richmond,Oliver Anthony Music
11,Barbie World,Nicki Minaj & Ice Spice With Aqua
12,Flowers,Miley Cyrus
13,All My Life,Lil Durk Featuring J. Cole
14,Religiously,Bailey Zimmerman
15,Used To Be Young,Miley Cyrus
16,Hey Driver,Zach Bryan Featuring The War And Treaty
17,Need A Favor,Jelly Roll
18,Thinkin' Bout Me,Morgan Wallen
19,Anti-Hero,Taylor Swift
20,Kill Bill,SZA
21,What Was I Made For?,Billie Eilish
22,Last Time I Saw You,Nicki Minaj
23,Karma,Taylor Swift Featuring Ice Spice
24,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
25,Bad Idea Right?,Olivia Rodrigo
26,Meltdown,Travis Scott Featuring Drake
27,Dial Drunk,Noah Kahan With Post Malone
28,Tourniquet,Zach Bryan
29,Try That In A Small Town,Jason Aldean
30,Qlona,Karol G & Peso Pluma
31,Love You Anyway,Luke Combs
32,Watermelon Moonshine,Lainey Wilson
33,I Know ?,Travis Scott
34,Spotless,Zach Bryan Featuring The Lumineers
35,Bury Me In Georgia,Kane Brown
36,Seven,Jung Kook Featuring Latto
37,Margaritaville,Jimmy Buffett
38,Single Soon,Selena Gomez
39,East Side Of Sorrow,Zach Bryan
40,What It Is (Block Boy),Doechii Featuring Kodak Black
41,Daylight,David Kushner
42,Mi Ex Tenia Razon,Karol G
43,LaLa,Myke Towers
44,Cupid,Fifty Fifty
45,Demons,Doja Cat
46,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H"
47,Fear And Friday's,Zach Bryan
48,El Dorado,Zach Bryan
49,Telekinesis,Travis Scott Featuring SZA & Future
50,Peaches & Eggplants,Young Nudy Featuring 21 Savage
51,Ticking,Zach Bryan
52,Summertime's Close,Zach Bryan
53,FE!N,Travis Scott Featuring Playboi Carti
54,Overtime,Zach Bryan
55,Come See Me,Rod Wave
56,White Horse,Chris Stapleton
57,Good Good,"Usher, Summer Walker & 21 Savage"
58,Truck Bed,HARDY
59,Deli,Ice Spice
60,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida
61,Standing Room Only,Tim McGraw
62,Smaller Acts,Zach Bryan
63,Everything I Love,Morgan Wallen
64,In Your Love,Tyler Childers
65,Popular,"The Weeknd, Playboi Carti & Madonna"
66,SkeeYee,Sexyy Red
67,Put It On Da Floor Again,Latto Featuring Cardi B
68,Holy Roller,Zach Bryan Featuring Sierra Ferrell
69,Sabor Fresa,Fuerza Regida
70,Tulum,Peso Pluma & Grupo Frontera
71,Where She Goes,Bad Bunny
72,Angels Don't Always Have Wings,Thomas Rhett
73,K-POP,"Travis Scott, Bad Bunny & The Weeknd"
74,Johnny Dang,"That Mexican OT, Paul Wall & DRODi"
75,Oh U Went,Young Thug Featuring Drake
76,Dawns,Zach Bryan Featuring Maggie Rogers
77,Jake's Piano - Long Island,Zach Bryan
78,Save Me,Jelly Roll With Lainey Wilson
79,Oklahoma Smoke Show,Zach Bryan
80,Lose Control,Teddy Swims
81,Tradesman,Zach Bryan
82,Shake Sumn,DaBaby
83,Keep Going Up!,"Timbaland, Nelly Furtado & Justin Timberlake"
84,Area Codes,Kaliii
85,Sittin' On Top Of The World,Burna Boy
86,Pretty Little Poison,Warren Zeiders
87,Oklahoman Son,Zach Bryan
88,TQM,Fuerza Regida
89,See You Again,"Tyler, The Creator Featuring Kali Uchis"
90,Amargura,Karol G
91,Girl In Mine,Parmalee
92,El Amor de Su Vida,Grupo Frontera & Grupo Firme
93,Summer Too Hot,Chris Brown
94,Rubicon,Peso Pluma
95,Stand By Me,Lil Durk Featuring Morgan Wallen
96,Call Your Friends,Rod Wave
97,Your Heart Or Mine,Jon Pardi
98,Primera Cita,Carin Leon
99,S91,Karol G
